text,category
TRANSFER slary,Income
salary,Income
slary,Income
UPI/dividend/12345,Income
UPI/dividend/12345,Income
IMPS/dividend/98765,Income
IMPS/dividend/98765,Income
dividend LIMITED,Income
dividend LIMITED,Income
dividend PAYMENT,Income
dividend PAYMENT,Income
UPI PAYMENT dividend,Income
UPI PAYMENT dividend,Income
dividend INDIA,Income
dividend INDIA,Income
TRANSFER dividend,Income
TRANSFER dividend,Income
dividend,Income
dividend,Income
UPI/cashback/12345,Income
UPI/cshback/12345,Income
IMPS/cashback/98765,Income
IMPS/cshback/98765,Income
cashback LIMITED,Income
cshback LIMITED,Income
cashback PAYMENT,Income
cshback PAYMENT,Income
UPI PAYMENT cashback,Income
UPI PAYMENT cshback,Income
cashback INDIA,Income
cshback INDIA,Income
TRANSFER cashback,Income
TRANSFER cshback,Income
cashback,Income
cshback,Income
UPI/reimbursement/12345,Income
UPI/reimbursement/12345,Income
IMPS/reimbursement/98765,Income
IMPS/reimbursement/98765,Income
reimbursement LIMITED,Income
reimbursement LIMITED,Income
reimbursement PAYMENT,Income
reimbursement PAYMENT,Income
UPI PAYMENT reimbursement,Income
UPI PAYMENT reimbursement,Income
reimbursement INDIA,Income
reimbursement INDIA,Income
TRANSFER reimbursement,Income
TRANSFER reimbursement,Income
reimbursement,Income
reimbursement,Income
UPI/rent/12345,Income
UPI/rent/12345,Income
IMPS/rent/98765,Income
IMPS/rent/98765,Income
rent LIMITED,Income
rent LIMITED,Income
rent PAYMENT,Income
rent PAYMENT,Income
UPI PAYMENT rent,Income
UPI PAYMENT rent,Income
rent INDIA,Income
rent INDIA,Income
TRANSFER rent,Income
TRANSFER rent,Income
rent,Income
rent,Income
UPI/pension/12345,Income
UPI/pension/12345,Income
IMPS/pension/98765,Income
IMPS/pension/98765,Income
pension LIMITED,Income
pension LIMITED,Income
pension PAYMENT,Income
pension PAYMENT,Income
UPI PAYMENT pension,Income
UPI PAYMENT pension,Income
pension INDIA,Income
pension INDIA,Income
TRANSFER pension,Income
TRANSFER pension,Income
pension,Income
pension,Income
UPI/refund/12345,Income
UPI/refund/12345,Income
IMPS/refund/98765,Income
IMPS/refund/98765,Income
refund LIMITED,Income
refund LIMITED,Income
refund PAYMENT,Income
refund PAYMENT,Income
UPI PAYMENT refund,Income
UPI PAYMENT refund,Income
refund INDIA,Income
refund INDIA,Income
TRANSFER refund,Income
TRANSFER refund,Income
refund,Income
refund,Income
UPI/bonus/12345,Income
UPI/bonus/12345,Income
IMPS/bonus/98765,Income
IMPS/bonus/98765,Income
bonus LIMITED,Income
bonus LIMITED,Income
bonus PAYMENT,Income
bonus PAYMENT,Income
UPI PAYMENT bonus,Income
UPI PAYMENT bonus,Income
bonus INDIA,Income
bonus INDIA,Income
TRANSFER bonus,Income
TRANSFER bonus,Income
bonus,Income
bonus,Income
UPI/stipend/12345,Income
UPI/stipend/12345,Income
IMPS/stipend/98765,Income
IMPS/stipend/98765,Income
stipend LIMITED,Income
stipend LIMITED,Income
stipend PAYMENT,Income
stipend PAYMENT,Income
UPI PAYMENT stipend,Income
UPI PAYMENT stipend,Income
stipend INDIA,Income
stipend INDIA,Income
TRANSFER stipend,Income
TRANSFER stipend,Income
stipend,Income
stipend,Income
UPI/zerodha/12345,Investment
UPI/zerodh/12345,Investment
IMPS/zerodha/98765,Investment
IMPS/zerodh/98765,Investment
zerodha LIMITED,Investment
zerodh LIMITED,Investment
zerodha PAYMENT,Investment
zerodh PAYMENT,Investment
UPI PAYMENT zerodha,Investment
UPI PAYMENT zerodh,Investment
zerodha INDIA,Investment
zerodh INDIA,Investment
TRANSFER zerodha,Investment
TRANSFER zerodh,Investment
zerodha,Investment
zerodh,Investment
UPI/groww/12345,Investment
UPI/groww/12345,Investment
IMPS/groww/98765,Investment
IMPS/groww/98765,Investment
groww LIMITED,Investment
groww LIMITED,Investment
groww PAYMENT,Investment
groww PAYMENT,Investment
UPI PAYMENT groww,Investment
UPI PAYMENT groww,Investment
groww INDIA,Investment
groww INDIA,Investment
TRANSFER groww,Investment
TRANSFER groww,Investment
groww,Investment
groww,Investment
UPI/mutual fund/12345,Investment
UPI/mutulfund/12345,Investment
IMPS/mutual fund/98765,Investment
IMPS/mutulfund/98765,Investment
mutual fund LIMITED,Investment
mutulfund LIMITED,Investment
mutual fund PAYMENT,Investment
mutulfund PAYMENT,Investment
UPI PAYMENT mutual fund,Investment
UPI PAYMENT mutulfund,Investment
mutual fund INDIA,Investment
mutulfund INDIA,Investment
TRANSFER mutual fund,Investment
TRANSFER mutulfund,Investment
mutual fund,Investment
mutulfund,Investment
UPI/upstox/12345,Investment
UPI/upstox/12345,Investment
IMPS/upstox/98765,Investment
IMPS/upstox/98765,Investment
upstox LIMITED,Investment
upstox LIMITED,Investment
upstox PAYMENT,Investment
upstox PAYMENT,Investment
UPI PAYMENT upstox,Investment
UPI PAYMENT upstox,Investment
upstox INDIA,Investment
upstox INDIA,Investment
TRANSFER upstox,Investment
TRANSFER upstox,Investment
upstox,Investment
upstox,Investment
UPI/angel one/12345,Investment
UPI/ngelone/12345,Investment
IMPS/angel one/98765,Investment
IMPS/ngelone/98765,Investment
angel one LIMITED,Investment
ngelone LIMITED,Investment
angel one PAYMENT,Investment
ngelone PAYMENT,Investment
UPI PAYMENT angel one,Investment
UPI PAYMENT ngelone,Investment
angel one INDIA,Investment
ngelone INDIA,Investment
TRANSFER angel one,Investment
TRANSFER ngelone,Investment
angel one,Investment
ngelone,Investment
UPI/coin/12345,Investment
UPI/coin/12345,Investment
IMPS/coin/98765,Investment
IMPS/coin/98765,Investment
coin LIMITED,Investment
coin LIMITED,Investment
coin PAYMENT,Investment
coin PAYMENT,Investment
UPI PAYMENT coin,Investment
UPI PAYMENT coin,Investment
coin INDIA,Investment
coin INDIA,Investment
TRANSFER coin,Investment
TRANSFER coin,Investment
coin,Investment
coin,Investment
UPI/kuvera/12345,Investment
UPI/kuver/12345,Investment
IMPS/kuvera/98765,Investment
IMPS/kuver/98765,Investment
kuvera LIMITED,Investment
kuver LIMITED,Investment
kuvera PAYMENT,Investment
kuver PAYMENT,Investment
UPI PAYMENT kuvera,Investment
UPI PAYMENT kuver,Investment
kuvera INDIA,Investment
kuver INDIA,Investment
TRANSFER kuvera,Investment
TRANSFER kuver,Investment
kuvera,Investment
kuver,Investment
UPI/indmoney/12345,Investment
UPI/indmoney/12345,Investment
IMPS/indmoney/98765,Investment
IMPS/indmoney/98765,Investment
indmoney LIMITED,Investment
indmoney LIMITED,Investment
indmoney PAYMENT,Investment
indmoney PAYMENT,Investment
UPI PAYMENT indmoney,Investment
UPI PAYMENT indmoney,Investment
indmoney INDIA,Investment
indmoney INDIA,Investment
TRANSFER indmoney,Investment
TRANSFER indmoney,Investment
indmoney,Investment
indmoney,Investment
UPI/paytm money/12345,Investment
UPI/pytmmoney/12345,Investment
IMPS/paytm money/98765,Investment
IMPS/pytmmoney/98765,Investment
paytm money LIMITED,Investment
pytmmoney LIMITED,Investment
paytm money PAYMENT,Investment
pytmmoney PAYMENT,Investment
UPI PAYMENT paytm money,Investment
UPI PAYMENT pytmmoney,Investment
paytm money INDIA,Investment
pytmmoney INDIA,Investment
TRANSFER paytm money,Investment
TRANSFER pytmmoney,Investment
paytm money,Investment
pytmmoney,Investment
UPI/epfo/12345,Investment
UPI/epfo/12345,Investment
IMPS/epfo/98765,Investment
IMPS/epfo/98765,Investment
epfo LIMITED,Investment
epfo LIMITED,Investment
epfo PAYMENT,Investment
epfo PAYMENT,Investment
UPI PAYMENT epfo,Investment
UPI PAYMENT epfo,Investment
epfo INDIA,Investment
epfo INDIA,Investment
TRANSFER epfo,Investment
TRANSFER epfo,Investment
epfo,Investment
epfo,Investment
UPI/ppf/12345,Investment
UPI/ppf/12345,Investment
IMPS/ppf/98765,Investment
IMPS/ppf/98765,Investment
ppf LIMITED,Investment
ppf LIMITED,Investment
ppf PAYMENT,Investment
ppf PAYMENT,Investment
UPI PAYMENT ppf,Investment
UPI PAYMENT ppf,Investment
ppf INDIA,Investment
ppf INDIA,Investment
TRANSFER ppf,Investment
TRANSFER ppf,Investment
ppf,Investment
ppf,Investment
UPI/sip/12345,Investment
UPI/sip/12345,Investment
IMPS/sip/98765,Investment
IMPS/sip/98765,Investment
sip LIMITED,Investment
sip LIMITED,Investment
sip PAYMENT,Investment
sip PAYMENT,Investment
UPI PAYMENT sip,Investment
UPI PAYMENT sip,Investment
sip INDIA,Investment
sip INDIA,Investment
TRANSFER sip,Investment
TRANSFER sip,Investment
sip,Investment
sip,Investment
UPI/icici direct/12345,Investment
UPI/icicidirect/12345,Investment
IMPS/icici direct/98765,Investment
IMPS/icicidirect/98765,Investment
icici direct LIMITED,Investment
icicidirect LIMITED,Investment
icici direct PAYMENT,Investment
icicidirect PAYMENT,Investment
UPI PAYMENT icici direct,Investment
UPI PAYMENT icicidirect,Investment
icici direct INDIA,Investment
icicidirect INDIA,Investment
TRANSFER icici direct,Investment
TRANSFER icicidirect,Investment
icici direct,Investment
icicidirect,Investment
UPI/hdfc sec/12345,Investment
UPI/hdfcsec/12345,Investment
IMPS/hdfc sec/98765,Investment
IMPS/hdfcsec/98765,Investment
hdfc sec LIMITED,Investment
hdfcsec LIMITED,Investment
hdfc sec PAYMENT,Investment
hdfcsec PAYMENT,Investment
UPI PAYMENT hdfc sec,Investment
UPI PAYMENT hdfcsec,Investment
hdfc sec INDIA,Investment
hdfcsec INDIA,Investment
TRANSFER hdfc sec,Investment
TRANSFER hdfcsec,Investment
hdfc sec,Investment
hdfcsec,Investment
UPI/sbi mutual fund/12345,Investment
UPI/sbimutulfund/12345,Investment
IMPS/sbi mutual fund/98765,Investment
IMPS/sbimutulfund/98765,Investment
sbi mutual fund LIMITED,Investment
sbimutulfund LIMITED,Investment
sbi mutual fund PAYMENT,Investment
sbimutulfund PAYMENT,Investment
UPI PAYMENT sbi mutual fund,Investment
UPI PAYMENT sbimutulfund,Investment
sbi mutual fund INDIA,Investment
sbimutulfund INDIA,Investment
TRANSFER sbi mutual fund,Investment
TRANSFER sbimutulfund,Investment
sbi mutual fund,Investment
sbimutulfund,Investment
